phi r1 r2
0.0 1.7 1.7
35.0 2.225 2.225
40.0 2.3 2.3
5.0 1.925 2.075
15.0 1.775 1.775
20.0 2.0 2.0
25.0 2.075 1.925
0.0 2.0 2.0
40.0 2.0 2.0
20.0 2.3 2.0
20.0 1.7 2.0
20.0 2.0 1.7
20.0 2.0 2.3
16.94619197355619 1.9300649112954664 1.742621634918732
18.44537181844245 2.15 2.15
22.505625 1.85 2.15
14.548430837704904 1.8253260536569007 1.8466553552009617
7.86329446720214 1.7576590447363778 2.1435581476389807
4.807862448526755 1.7384884978092705 1.756364306455065
11.576243717888046 1.7028172857155282 1.8492518861119749
23.046293376713475 1.9682752271705763 1.9379034445081904
38.243345388928965 1.8809448900047292 1.78128443853347
17.256737417358963 2.183716393427652 2.29930820394072
5.977932186319751 2.2088049375933405 2.118457263886738
14.399122579134556 1.81999791493784 2.2568487760793543
24.85913605999054 2.0213796818149747 1.8259062493850733
9.096585118932929 2.117806093289276 2.1076356640991403
8.675879375938957 1.8920102904934808 2.223590393268437
38.11166627887777 1.8523649855570157 1.954811281250904
34.554224236929265 1.937635821684376 1.9133676427099733
38.47745514188916 2.2577175900753144 1.7383731596725889
35.06020981266363 2.264826622823899 2.2093661331877508
39.273175592730134 1.7821401630113594 1.7587066906964204
30.96189330794555 1.7794925808547897 1.7881679872402252
22.29475165295668 1.7332245922527187 2.117375267383314
7.2460384694761215 2.166444537109252 1.9225116795307333
38.377333633337 2.021706496822071 2.273843433677569
18.276456865830628 2.2424266357405744 2.0816366332682845
23.6393666129474 2.1924602724207887 1.9390605551718059
10.347362675576306 1.9140241342415256 1.759768958132763
9.309765171162274 1.7408444443848319 1.7072217337385924
16.362163814922464 1.739182524291068 1.8476379109945784
11.48206079678519 2.2549801471719157 2.2912948565859783
38.038104442215754 2.229032127400304 1.8426843455234232
17.97166594750952 2.2655501598187584 2.1197450361348507
2.8347911273683346 2.062470682412529 1.8648941419205576
10.866110704245834 1.8862284955878867 2.2544952599724577
27.220579245713033 2.1057454893664778 2.126202097384528
3.5797818013160043 1.8674407689371593 2.103174284357493
23.549584398811522 2.00588431797295 2.0119714247425033
9.110380061514435 1.7800768825609603 2.024828476254281
6.990880166437599 2.231782799651936 1.964158251697695
