d12 phi1 psi r1
0.0 120.0 0.0 1.7
0.2 180.0 70.0 2.3
0.1 126.0 63.0 2.24
0.18000000000000002 162.0 49.0 1.76
0.06 174.0 7.0 1.88
0.020000000000000004 138.0 21.0 2.0
0.14 150.0 35.0 2.12
0.1 150.0 35.0 2.0
0.0 150.0 35.0 2.0
0.2 150.0 35.0 2.0
0.1 120.0 35.0 2.0
0.1 180.0 35.0 2.0
0.1 150.0 0.0 2.0
0.1 150.0 70.0 2.0
0.1 150.0 35.0 1.7
0.1 150.0 35.0 2.3
0.10897663659937938 177.81976563006177 64.79176468048627 2.1668940505699097
0.15000000000000002 157.6325420927235 17.5 1.85
0.13952623918545298 127.73557785929121 69.18616866414584 1.8519749615238688
0.039316472336010704 125.76590447363779 51.748450557881114 1.7712366313725465
0.0635966358787952 135.92336945636671 22.29982667159265 1.80991481720427
0.14999999999999453 144.0567093400957 52.5 1.9038376232427128
0.08477100971163594 137.40465643262664 39.89754374908854 1.958851061260384
0.16123879780921715 179.930820394072 8.667398799460905 1.7415001972730828
0.1951043010005772 130.29778063568642 55.558839235019434 1.7191033577187846
0.04757856427490173 163.80732177100617 66.10606729887535 1.7348174961943252
0.004935745678266246 173.80027758242053 1.4455699626010077 2.198629073141714
0.17453013108947907 161.24929658326892 14.93183841572374 1.9245019882005352
0.1727711211846463 143.76358216843764 24.89289164949689 1.7500534612652108
0.13398330931818198 149.13765575607738 16.219113852984314 2.224572779974968
0.05000000000000001 153.20966061404854 26.386560077527477 1.85
0.06662903040572839 123.20563090720951 5.566545781072903 2.03442127479435
0.011074864084239591 161.73752673833144 3.979365350326821 1.9242878827595369
0.07417055984357775 124.61738681919796 45.18991711192027 2.1088355063623028
0.03742617835016895 147.51623770611516 48.97354379753617 1.7963232934911535
0.16415342414026302 143.90605551718065 2.3313238582687337 1.8111393951417103
0.17389770610932645 121.98447548853035 15.48126407422587 2.0710881557076486
0.19485124256361008 149.41832079292422 16.89930340536018 1.9544533930615096
0.009201462177459386 178.1383022802211 7.413430841756254 2.138425459476485
0.14975765150802664 170.35134733551914 60.710258382372544 2.2966404737886075
0.030470941137546094 173.7231530572926 62.77328107570869 1.9410281212277591
0.0746069727761495 171.73911281015415 24.393319232344798 1.822954212175821
0.001576820701688075 144.35653931809705 14.682496475894457 2.2693166124323043
0.15000000000000002 155.1873934422726 44.701945556519696 2.0584786567747164
0.02669229418698689 152.48284762542815 2.522367219999864 1.7962805863325606
0.03722016647886424 157.33594596603768 58.44012895572789 2.1174969216681494
0.1214498748023082 142.07565483222245 6.7762767224861955 2.2995667963533024
0.195245132690764 128.86113469240243 54.11584878384101 2.147238844368376
0.07996033844490519 171.72375575107245 11.831778429041288 1.9742352567988204
0.17142498350091348 160.28300872020918 30.22320893580235 2.1358054786507013
0.02195689161250014 126.19788930510832 36.69287022756308 2.2056661176109054
